channel_id,channel,community_id,sample_viewers,internal_strength
UCFo4kqllbcQ4nV83WCyraiw,NAKATA UNIVERSITY ,0,122,5.342268
UC67Wr_9pA4I0glIxDt_Cpyw,両学長 リベラルアーツ大学,0,269,5.011616
UC0PotgTwYxbOZuM9FbWKdcg,Paranoia_パラノイア【有益】,0,470,4.334522
UC8yHePe_RgUBE-waRWy6olw,PIVOT 公式チャンネル,0,146,4.183366
UCC4NkFV-L-vVYD5z_Ei5dUA,学識サロン,0,102,3.853812
UCFdBehO71GQaIom4WfVeGSw,メンタリスト DaiGo,0,72,3.845982
UC7I3QTra4_kC4TSu8f7rHkA,マコなり社長,0,106,3.592391
UCEixleMT76xDzoiEb9ZA7XA,本要約チャンネル【毎日18時更新】,0,111,3.5379
UC6uU6smfaEvk_vyVjxIOVuQ,たぱぞう投資大学,0,22,3.064443
UC3eTZ5Yld6qufD6rtEiERdw,Repezen Foxx,0,46,3.02617
UC5laBQe3nqbrAnwNTabchhQ,セミリタイア目指す夫婦 もりげ,0,14,2.551737
UC6I4vtYv0c4KkGbzZHZxBsg,謎解き統計学 | サトマイ,0,73,2.421421
UCB4nWNauim-qxiaDOcH0dLA,街録ch〜あなたの人生、教えて下さい〜,0,48,2.188105
UC3-1iYGHfR43q_b974vUNYg,フェルミ研究所 FermiLab,0,76,2.073188
UC9hwDDT7femX1YJ_-HfSo7A,【リベ大】スキルアップチャンネル,0,20,2.066649
UC9V4eJBNx_hOieGG51NZ6nA,フェルミ漫画大学,0,112,1.923442
UC761NMYPNhxIbTXQvYl6oug,THINK.【願望・理想を、創造する。】,0,59,1.903865
UCB1dgsqLiEp57oDAyNV_vww,ABEMA Prime #アベプラ【公式】,0,53,1.890587
UC67REzSALhOC8_xkgLyif-g,北の達人チャンネル,0,50,1.883384
UC4cVwSx4jdZszAcvrgJ4H-g,ガーコちゃんねる,0,37,1.864943
UC1zsShDyJp8AafQu9BPo1PQ,JOE VLOG 【CRAZY CHALLENGER】,0,80,1.809624
UC7sEB_ylMuHJD4TjF4Ag1nw,田端大学　投資学部,0,33,1.774343
UC9AuyS7U4PxeDSNMJ2srarA,AIでサボろうチャンネル,0,11,1.768418
UC6AG81pAkf6Lbi_1VC5NmPA,TBS NEWS DIG Powered by JNN,0,76,1.762875
UC1nVq5-LTEdUVmr5FLfkd7A,税理士YouTuberチャンネル!! / ヒロ税理士,0,48,1.709141
UC9zY_E8mcAo_Oq772LEZq8Q,THE FIRST TAKE,0,69,1.683936
UC6kSLiIgAcbXNSxf0JHjy5g,中田敦彦のトーク - NAKATA ATSUHIKO TALKS,0,43,1.654012
UCG_oqDSlIYEspNpd2H4zWhw,ReHacQ−リハック−【公式】,0,41,1.467483
UC5BiTvy2Ni2MyigJPspjhOA,トウシル [楽天証券],0,28,1.454242
UC7Uc7ZmNOt_sPLFl7ZM83iQ,Fuyuko / Saving and Investment Geek ,0,31,1.436404
UC6merdM0gtSbJyfwT4e3AiQ,REWIRE,0,43,1.430727
UCEWw6AKlR_F5_pbc_GOOIBg,BUDDICAの中野クン,0,24,1.42697
UC1-4AnMxkLXLNL3-7UJ4KTQ,/谷やん谷崎鷹人,0,27,1.401043
UCASJIBV9UDa_FDiSddoEonQ,ナスビのマネー講座,0,15,1.399976
UCGCZAYq5Xxojl_tSXcVJhiQ,ANNnewsCH,0,40,1.358119
UC8EJ_7BoTFQUcQwd6cYeBlw,不動産アニキの非常識な投資学,0,18,1.331896
UCJZVj2iBrdvbNc416i0V-UA,朝倉未来 Mikuru Asakura,0,21,1.287459
UC4arQnli3ffEuCSrSgAD_Ug,大愚和尚の一問一答/Osho Taigu’s Heart of Buddha,0,94,1.285536
UC4Ub-Y_yj43aouqFbA7PwhQ,おーちゃん【元外銀マン】,0,49,1.284583
UC5dz5HTMO-tU_5amQkL37ew,アラサー夫婦の沖縄移住セミリタイア計画,0,8,1.256724
UCBp751ECaWfrw_dZtdgZu1A,ほんださん / 東大式FPチャンネル,0,14,1.198412
UC2PFHY0nOOVyErB_s1P2iQA,ブレインハック_BrainHack🧠,0,42,1.185749
UC3GEdr3hViGQqibBucxweag,『お金の雑学』ゆっくり解説,0,36,1.071764
UC7bMtttgCTTyjUd_NPOjCBA,GabalaboCH-ガバラボ,0,29,1.038091
UCB9yWqXpCqFVSwoT_MQiSnQ,トラさん【大切なお知らせ・最新動画へ】,0,15,1.032999
UC6UHYyVoCrAUBsxF-ortrew,StudyInネイティブ英会話,0,35,1.016281
UC4Zyu8fXoss8fnCraoqVprA,GACKTちゃんねる がくちゃん,0,44,0.990096
UC1fYrot9lgMstv7vX0BnjnQ,かす,0,7,0.98076
UCBC9F0IokoWtGV4hX_1ueTw,Makabeeの米国株【ジム・クレイマー応援ch】,0,11,0.977611
UC90UTL_T6hQoLnWGATfOc8w,政経電論TV,0,23,0.962867
UC7pubtllqd-BQjofeZSf9tA,ネイピア投資塾,0,4,0.953429
UCJOGhcQGkbDJXzXEk54Ro5g,ノージョブフドウch. 【nojob.fudou.ch】,0,10,0.936499
UCDHVK-W8XCARucIYu64MJQw,八木仁平の自己理解チャンネル,0,20,0.918664
UC69PmrVDjOy4KBkaW9S4ZJg,米国株ファンダメンタルズ分析家　まもる【米国株】【経済】,0,8,0.884289
UCCflFNkyeaY7vRAzLmSO60g,幸せと自己実現の心理学 / 野口嘉則,0,14,0.870964
UCA7eKOm-KmE8Z6VmZkEKlbg,Gen,0,18,0.862858
UC4QyTvP-HC4Xcv9jGbHYv4g,レッツゴーなぎら,0,17,0.853676
UC8LhZmYA7VTt84hl91ifIGw,映画弁当 : The movie,0,23,0.851605
UC3kCoMOmTiqkjxjpBPKdt6w,テクサス大学【成功の秘密】,0,27,0.818878
UC6NyO8meJAlUHslb-bIIQ1A,飽き性主婦ゆいママの人気副業チャレンジ日記,0,14,0.817464
UC9KPuuwSyeNvVo26tf4mqPw,test,0,19,0.802696
UCGXU4lVXc9msfUkjNykA7TA,BANK ACADEMY / バンクアカデミー,0,18,0.779545
UC97CxE2c4b8TptqpFE6dFfQ,ザ・ルール 【人生の攻略法】,0,38,0.761802
UC8AQxRa-WTwfWCJgkOKWxOQ,たてはま / CGBeginner,0,20,0.743688
UC26ZU-55UPc7lVR9inHWayA,アバンティーズ,0,6,0.740582
UC4Au2QrbfaSjHPSdk5tUBeg,ワタナベマホト,0,10,0.723662
UC4zMk7dbUqzTZieuIFzzSgg,Relax Music BGM CHANNEL,0,34,0.720826
UCAVmlHjp-0ARZ7JwJOcWvpQ,Japanese Noodles RAMEN ROTAS,0,4,0.719522
UC7wu64jFsV02bbu6UHUd7JA,ガンダムチャンネル,0,34,0.70429
UC4ZBlcSK0j_SrNxNMCv_qEg,【簿記・会計】公認会計士たぬ吉の資格塾,0,11,0.692453
UCB3mOPzHaD-K1n7YlubgOqA,テックナビ,0,5,0.689679
UCAWWDsFWX4lMuRtH46VYdIQ,ゴルフレッスン動画 Tera-You-Golf,0,17,0.680211
UCGDec349YIziUytZzc3d7Yg,【簿記系YouTuber?】ふくしままさゆき,0,16,0.676578
UC7umTzIrIJq8Xh428lj0M5A,ヒューマンバグ大学_闇の漫画,0,25,0.66596
UC0rzYB5Cr7cV1AO959n_IGg,Wolf ch,0,13,0.663184
UC5CXd3yvCNfePkAbxeianDQ,McGuffin,0,28,0.657202
UCCuv7AYfilB3vqR2WU6isxQ,なかちの解説チャンネル,0,3,0.645006
UC2656chrY5MdTQO2_II7yRg,まあたその「もうメインチャンネル」,0,3,0.637798
UC6VjNLslXbb6Stl0I2MkQWA,ガーリィレコードチャンネル,0,5,0.617569
UC9dDhZ-seQ8xmeC11l_7S7A,鴨頭嘉人の鴨BizTube　ビジネスチャンネル,0,17,0.593913
UCCOM5OkoyUFJa5T4kJn3r0g,YouTube図書館,0,21,0.586342
UCALplCbeagOxXGmEJ-hOJIg,楽天証券,0,15,0.57978
UCH3goNChaODS4vVO3yZjacQ,竹之内社長の【非常識な成功法則】,0,6,0.57707
UC3SMMsAG5lFTBlvgsTH5Z_Q,小春の政治家ターゲットch,0,8,0.576606
UCCb4JEa7itqmHTilclgTmcA,ナカセの本棚 / Nakase,0,9,0.552024
UCBqN11fVN9yxA0ARcQxU9sQ,進撃のノア shingeki noa,0,14,0.520528
UCETjSSYWFly4vS0YkzcKTBA,ハル式 WEB集客スクール,0,4,0.490133
UC8Niu74NfPEg82yvHBKb4YA,1日見てもいいですか?,0,18,0.464399
UCBevyiJ2ierZY-0yZhfLrmQ,3Blue1BrownJapan,0,10,0.455707
UCFDL0NuxUBAvvu1PnIwW2ww,Goose house,0,6,0.442009
UC6eCFcJpPFNP_P6Y0bKHqKg,taishiyade@元シリコンバレーCTO個人開発者,0,6,0.439193
UC5mk1yo6PZjSHzoIGYNc9jg,ぬりぼう&さわきん,0,4,0.435214
UCFXl12dZUPs7MLy_dMkMZYw,Dan Takahashi  (Japanese),0,16,0.432862
UC3y7HcAnhou4TWUqyNplxCw,まだ面白いブレイキングダウン,0,5,0.4322
UCKa_NCzd8zhw3m3eDJojHAQ,宋世羅の羅針盤ちゃんねる,0,18,0.426781
UCIQtDoeW36USisFNNUfg5yg,MEDITERRACE,0,26,0.426133
UCBVjMGOIkavEAhyqpxJ73Dw,Maroon 5,0,6,0.424937
UC88KSXMWdkv50V1Wm8CAYWg,high_note Music Lounge,0,8,0.420005
UC8w3bNlsLkSbd9AnpHWPLrw,モトキネットショップ経営,0,10,0.41912
UC0GgO2x6jsXWnJw3ZVxCk-g,ノージョブフドウセカンドch,0,8,0.417735
UC3X1Mrc0TXQQd4tOG03sooA,Shoto Golf⛳️金子奨投,0,3,0.4085
