channel_id_a,channel_id_b,shared_viewers,fractional_overlap,weighted_cosine
UC--95y8dvxVRoNLUXcfoLsQ,UC-IdN5EFZvzzZGqgul8eXKQ,3,0.09844157,0.19557888805866241
UC--VXRpoDtokerOb5TDwE5g,UC-a9wiNTKiLIRLTyIRdNbMg,3,0.11104594,0.12212377786636353
UC--gkGfH8u33yIDDLrFNl6A,UC-3QY3npvAhdBncds9bim5A,3,0.12019705,0.19670167565345764
UC--qWyVfci2crfG-UyEIMgg,UC-AEBG91PCbcrMj8AMAUDmA,3,0.14114943,0.33229905366897583
UC--qWyVfci2crfG-UyEIMgg,UC-CA4ND0DqLWio_i_RMOngg,3,0.14114943,0.44048237800598145
UC-0-GJ_ThO567EMoINxORow,UC-U71b403ypwVxAvYeBaR4Q,3,0.15140584,0.4371297359466553
UC-0-GJ_ThO567EMoINxORow,UC-kF1uMFhIfvw6seHqDGwkg,3,0.15140584,0.14893247187137604
UC-082v9qNgRuPfsS-gV2foA,UC-pkVT7PmmhoBUYfqz7JN9Q,3,0.09204854,0.17757548391819
UC-1E5_HQLNwmbih1cTM4CJQ,UC-1ESuGluoxdNy96lkpfDSw,3,0.15858975,0.2179362177848816
UC-1E5_HQLNwmbih1cTM4CJQ,UC-3QY3npvAhdBncds9bim5A,5,0.20186372,0.2391965240240097
UC-1E5_HQLNwmbih1cTM4CJQ,UC-5eTKa5UQsHZAgDPqpSBBw,5,0.24430403,0.305796355009079
UC-1E5_HQLNwmbih1cTM4CJQ,UC-6DVb3QQK2_2oso0RqgNWA,7,0.24539867,0.26337921619415283
UC-1E5_HQLNwmbih1cTM4CJQ,UC-8udhbheRG8eg3s-6AFmXA,3,0.1257143,0.2609056830406189
UC-1E5_HQLNwmbih1cTM4CJQ,UC-9t7dZ3xvpjMGtFukKIhPw,4,0.20562677,0.2095596343278885
UC-1E5_HQLNwmbih1cTM4CJQ,UC-AEBG91PCbcrMj8AMAUDmA,3,0.1257143,0.17120330035686493
UC-1E5_HQLNwmbih1cTM4CJQ,UC-BoD8Gx4gsPdmUv4NlA8Jw,3,0.16692309,0.41666486859321594
UC-1E5_HQLNwmbih1cTM4CJQ,UC-H2m0nZt6k0SJ5o04gS0nA,5,0.17627473,0.19253592193126678
UC-1E5_HQLNwmbih1cTM4CJQ,UC-IgiloHdns1NIRZ4KcQXQw,3,0.09536341,0.19398999214172363
UC-1E5_HQLNwmbih1cTM4CJQ,UC-XcLyfIh3bfc6GikZAcWjw,3,0.085285895,0.19884583353996277
UC-1E5_HQLNwmbih1cTM4CJQ,UC-bQwtI1nN6t2R7Eb5aa3cA,3,0.10353038,0.15676207840442657
UC-1E5_HQLNwmbih1cTM4CJQ,UC-xs_TO6k_0TZ91OsBv0d-g,5,0.1543335,0.1522521674633026
UC-1ESuGluoxdNy96lkpfDSw,UC-1nyHi2btOf7d40VJrPl_A,3,0.10904762,0.1595175862312317
UC-1ESuGluoxdNy96lkpfDSw,UC-3QY3npvAhdBncds9bim5A,4,0.17079324,0.1391846239566803
UC-1ESuGluoxdNy96lkpfDSw,UC-5eTKa5UQsHZAgDPqpSBBw,6,0.29016462,0.24978716671466827
UC-1ESuGluoxdNy96lkpfDSw,UC-APJUQWxnTJ3JR1EDUi1wQ,3,0.17574662,0.20114287734031677
UC-1ESuGluoxdNy96lkpfDSw,UC-CA4ND0DqLWio_i_RMOngg,3,0.11142858,0.13833989202976227
UC-1ESuGluoxdNy96lkpfDSw,UC-H2m0nZt6k0SJ5o04gS0nA,4,0.17068726,0.12821733951568604
UC-1OXumarDKafDyEErGjPzg,UC-HuiLFNaJ9yELFLHAPEnOQ,3,0.13667583,0.4111993908882141
UC-1OXumarDKafDyEErGjPzg,UC-_JkCD8cRwUV5Z4MLAF7wg,3,0.13667583,0.33265450596809387
UC-1RMDK_jTIYocxoxfOJNfg,UC-2AcmcgfQAAOuJt72vON2w,3,0.10363637,0.14332716166973114
UC-1RMDK_jTIYocxoxfOJNfg,UC-J7_24mTSMqC3f3vwIEUdg,5,0.18009543,0.18594713509082794
UC-1RMDK_jTIYocxoxfOJNfg,UC-N7pA0rR1PrUBOfs2OA0oA,11,0.38625962,0.12766562402248383
UC-1RMDK_jTIYocxoxfOJNfg,UC-_2hN8eYuXfWnislPAk60Q,6,0.17383075,0.1472349315881729
UC-1RMDK_jTIYocxoxfOJNfg,UC-_JkCD8cRwUV5Z4MLAF7wg,3,0.115,0.13083109259605408
UC-1RMDK_jTIYocxoxfOJNfg,UC-g4Pydd3d7pqvzhC8pIZZg,3,0.107307695,0.18571507930755615
UC-1RMDK_jTIYocxoxfOJNfg,UC-ivsDwgEwvzjJTRK_jGRqg,4,0.12355769,0.15826183557510376
UC-1RMDK_jTIYocxoxfOJNfg,UC-mpreu42R7mLtyOlPKelxQ,4,0.15190476,0.16493333876132965
UC-1RMDK_jTIYocxoxfOJNfg,UC-qgCHahOqPsyi_HNnFfqPg,5,0.1561844,0.12843835353851318
UC-1RMDK_jTIYocxoxfOJNfg,UC01iOPW5JvjdpoCfaY8SbTw,6,0.17591408,0.19855205714702606
UC-1RMDK_jTIYocxoxfOJNfg,UC0eDNB1PZKimS476G5qYOEw,3,0.08372184,0.1798650324344635
UC-1RMDK_jTIYocxoxfOJNfg,UC1DlDWqOwD1B0SH4Hngh-2A,3,0.091249496,0.261366069316864
UC-1RMDK_jTIYocxoxfOJNfg,UC1S31PbQRHVqGbe2mSwyQ6g,4,0.13372183,0.15640094876289368
UC-1RMDK_jTIYocxoxfOJNfg,UC1gHtxTKm_6ZE2_n__vRlwA,3,0.108874455,0.14968405663967133
UC-1nyHi2btOf7d40VJrPl_A,UC-5eTKa5UQsHZAgDPqpSBBw,4,0.17801608,0.23719143867492676
UC-1nyHi2btOf7d40VJrPl_A,UC-6DVb3QQK2_2oso0RqgNWA,4,0.15044254,0.17187711596488953
UC-1nyHi2btOf7d40VJrPl_A,UC-8udhbheRG8eg3s-6AFmXA,3,0.11919255,0.26332131028175354
UC-1nyHi2btOf7d40VJrPl_A,UC-AEBG91PCbcrMj8AMAUDmA,4,0.14476192,0.20985525846481323
UC-1nyHi2btOf7d40VJrPl_A,UC-APJUQWxnTJ3JR1EDUi1wQ,3,0.1423018,0.2520821690559387
UC-1uvY3U4sMSGi52IcT_fWQ,UC26AciTXULvcABdrWbaeL8Q,4,0.20988593,0.6813787817955017
UC-23boc2hLm6irCZP7GpSbw,UC-31Es0zqiSFHE7OTiA01Jw,5,0.17593981,0.170538067817688
UC-23boc2hLm6irCZP7GpSbw,UC-G9DEQDpVtYC4zjlbRf_TA,3,0.100500084,0.19323904812335968
UC-23boc2hLm6irCZP7GpSbw,UC-HtWWWFevZy2WSLWDQksgQ,4,0.14508036,0.16002245247364044
UC-23boc2hLm6irCZP7GpSbw,UC-IdN5EFZvzzZGqgul8eXKQ,8,0.24704082,0.12216145545244217
UC-23boc2hLm6irCZP7GpSbw,UC-VygzWMWKztwNQ4BQh2SjQ,4,0.14123133,0.1520771086215973
UC-23boc2hLm6irCZP7GpSbw,UC-Z1TD10QN9CBtcyVYBkjSA,4,0.12984008,0.15947552025318146
UC-23boc2hLm6irCZP7GpSbw,UC-c-_R1XjcAMsu0JJ9RpnUg,5,0.1535656,0.1424243450164795
UC-23boc2hLm6irCZP7GpSbw,UC-pkVT7PmmhoBUYfqz7JN9Q,10,0.33930537,0.16664132475852966
UC-23boc2hLm6irCZP7GpSbw,UC-qgCHahOqPsyi_HNnFfqPg,9,0.28063038,0.1399482637643814
UC-23boc2hLm6irCZP7GpSbw,UC04upX3blwqu1rJK-rLFYHQ,3,0.12554112,0.1449899673461914
UC-23boc2hLm6irCZP7GpSbw,UC0J7Yk_O3g1-x-xD7xxAE8Q,4,0.13109109,0.136332705616951
UC-23boc2hLm6irCZP7GpSbw,UC0PotgTwYxbOZuM9FbWKdcg,26,0.88273585,0.1352284997701645
UC-23boc2hLm6irCZP7GpSbw,UC0k238zFx-Z8xFH0sxCrPJg,3,0.13042188,0.15318751335144043
UC-23boc2hLm6irCZP7GpSbw,UC1DijbzOiB3MTLNbCgqasHw,3,0.12400979,0.1873215138912201
UC-23boc2hLm6irCZP7GpSbw,UC1JMhM9TJT7yMLx8ZtbDO8g,4,0.17170498,0.15393172204494476
UC-23boc2hLm6irCZP7GpSbw,UC1PCOKQ8W7_ip1L7v4tPXZA,3,0.11186371,0.20566925406455994
UC-23boc2hLm6irCZP7GpSbw,UC40MXYe9jrs-hNPF1HyA7CA,3,0.147578,0.14414651691913605
UC-2AcmcgfQAAOuJt72vON2w,UC-qgCHahOqPsyi_HNnFfqPg,8,0.2843114,0.2422707974910736
UC-2AcmcgfQAAOuJt72vON2w,UC0BSwbn-6xUz_ZiRzwVj27w,3,0.09488722,0.12499029189348221
UC-2AcmcgfQAAOuJt72vON2w,UC0T9mx1-Nqd01vPFmpk7amA,6,0.17834505,0.1272205114364624
UC-2AcmcgfQAAOuJt72vON2w,UC0Wv49l3qlIdFX69FKD3y1g,3,0.09131653,0.1233152449131012
UC-2AcmcgfQAAOuJt72vON2w,UC1B51m7HSWGpm_qDDgoIeqA,3,0.08786882,0.14196543395519257
